Date,Volume,Volume_std,Index_ROC,Close,close_std_sp500-F,close_m_sp500-F
2000-9-19,103371,-1.508706507,0.75,1478.5,-0.326327053,29.57
2000-9-20,109667,-1.501087746,-0.61,1469.5,-0.337366006,29.39
2000-9-21,98528,-1.514566999,0,1469.5,-0.337366006,29.39
2000-9-22,97416,-1.515912625,-0.07,1468.5,-0.338592556,29.37
2000-9-25,85491,-1.530343013,-0.51,1461,-0.347791684,29.22
2000-9-26,99803,-1.513024127,-1.23,1443,-0.36986959,28.86
2000-9-27,101996,-1.510370388,0.26,1446.75,-0.365270026,28.935
2000-9-28,84280,-1.531808439,2.02,1476,-0.329393429,29.52
2000-9-29,78277,-1.539072641,-1.49,1454,-0.356377536,29.08
2000-10-2,84100,-1.532026256,0.15,1456.25,-0.353617798,29.125
2000-10-3,89440,-1.525564346,-1.01,1441.5,-0.371709416,28.83
2000-10-4,101607,-1.510841115,0.61,1450.25,-0.3609771,29.005
2000-10-5,92232,-1.52218576,0.4,1456,-0.353924436,29.12
2000-10-6,95257,-1.518525221,-2.04,1426.25,-0.390414308,28.525
2000-10-9,67432,-1.552196126,-0.68,1416.5,-0.402373174,28.33
2000-10-10,106613,-1.504783378,-1.8,1391,-0.433650208,27.82
2000-10-11,132059,-1.47399129,-0.9,1378.5,-0.448982087,27.57
2000-10-12,110135,-1.500521421,-2.5,1344,-0.491298074,26.88
2000-10-13,86048,-1.52966899,3.14,1386.25,-0.439476322,27.725
2000-10-16,85209,-1.53068426,0.41,1392,-0.432423657,27.84
2000-10-17,99618,-1.513247995,-2.32,1359.75,-0.471979906,27.195
2000-10-18,112021,-1.498239182,-0.44,1353.75,-0.479339208,27.075
2000-10-19,88966,-1.526137931,3.55,1401.75,-0.420464792,28.035
2000-10-20,71889,-1.546802731,0.66,1411,-0.409119201,28.22
2000-10-23,85786,-1.529986035,0.43,1417,-0.401759899,28.34
2000-10-24,99159,-1.513803429,-0.9,1404.25,-0.417398416,28.085
2000-10-25,110358,-1.50025157,-2.15,1374,-0.454501564,27.48
2000-10-26,118287,-1.490656724,-0.22,1371,-0.458181215,27.42
2000-10-27,81305,-1.535408472,2.19,1401,-0.421384704,28.02
2000-10-30,101978,-1.51039217,0.73,1411.25,-0.408812563,28.225
2000-10-31,89660,-1.525298125,2.09,1440.75,-0.372629328,28.815
2000-11-1,92961,-1.5213036,-0.57,1432.5,-0.382748369,28.65
2000-11-2,77315,-1.540236753,0.17,1435,-0.379681993,28.7
2000-11-3,66960,-1.552767291,0.12,1436.75,-0.37753553,28.735
2000-11-6,57591,-1.564104675,0.61,1445.5,-0.366803214,28.91
2000-11-7,63778,-1.556617815,-0.1,1444,-0.36864304,28.88
2000-11-8,88328,-1.526909972,-2.22,1412,-0.407892651,28.24
2000-11-9,110522,-1.500053115,-0.6,1403.5,-0.418318329,28.07
2000-11-10,90707,-1.524031155,-2.23,1372.25,-0.456648027,27.445
2000-11-13,121521,-1.486743275,-0.98,1358.75,-0.473206456,27.175
2000-11-14,101344,-1.51115937,2.59,1394,-0.429970557,27.88
2000-11-15,89420,-1.525588548,0.25,1397.5,-0.425677631,27.95
2000-11-16,180156,-1.41578933,-1.31,1379.25,-0.448062174,27.585
2000-11-17,90660,-1.52408803,-0.63,1370.5,-0.45879449,27.41
2000-11-20,82907,-1.5334699,-1.66,1347.75,-0.48669851,26.955
2000-11-21,82365,-1.534125771,0.61,1356,-0.47657947,27.12
2000-11-22,76824,-1.54083091,-2.43,1323,-0.517055631,26.46
2000-11-24,24125,-1.604601728,1.78,1346.5,-0.488231698,26.93
2000-11-27,89335,-1.525691406,0.93,1359,-0.472899819,27.18
2000-11-28,89335,-1.525691406,-1.51,1338.5,-0.498044101,26.77
2000-11-29,112125,-1.498113332,-0.24,1335.25,-0.502030389,26.705
2000-11-30,121701,-1.486525458,-1.07,1321,-0.519508732,26.42
2000-12-1,93584,-1.520549711,-0.02,1320.75,-0.519815369,26.415
2000-12-4,92525,-1.521831202,0.66,1329.5,-0.509083054,26.59
2000-12-5,95863,-1.517791903,3.37,1374.25,-0.454194926,27.485
2000-12-6,99873,-1.512939421,-1.44,1354.5,-0.478419295,27.09
2000-12-7,12054,-1.61920879,-1.29,1337,-0.499883926,26.74
2000-12-8,6007,-1.626526237,1.22,1353.25,-0.479952483,27.065
2000-12-11,3868,-1.629114631,2.2,1383,-0.443462611,27.66
2000-12-12,1616,-1.631839766,-0.34,1378.25,-0.449288725,27.565
2000-12-13,2668,-1.630566746,-1.47,1358,-0.474126369,27.16
2000-12-14,1376,-1.632130189,-1.55,1337,-0.499883926,26.74
2000-12-15,98832,-1.51419913,-0.37,1332,-0.506016678,26.64
2000-12-18,91761,-1.522755715,1.05,1346,-0.488844973,26.92
2000-12-19,98115,-1.515066768,-2.1,1317.75,-0.52349502,26.355
2000-12-20,107160,-1.504121455,-2.85,1280.25,-0.569490658,25.605
2000-12-21,99016,-1.513976472,0.64,1288.5,-0.559371618,25.77
2000-12-22,55440,-1.56670759,3.01,1327.25,-0.511842792,26.545
2000-12-26,44482,-1.579967816,0.7,1336.5,-0.500497201,26.73
2000-12-27,65382,-1.554676822,1.05,1350.5,-0.483325497,27.01
2000-12-28,56807,-1.56505339,0.19,1353,-0.480259121,27.06
2000-12-29,50363,-1.572851245,-1.92,1327,-0.51214943,26.54
2001-1-2,92668,-1.521658158,-2.03,1300,-0.545266289,26
2001-1-3,130684,-1.475655171,4.54,1359,-0.472899819,27.18
2001-1-4,110846,-1.499661044,-0.74,1349,-0.485165322,26.98
2001-1-5,117776,-1.491275082,-3.34,1304,-0.540360088,26.08
2001-1-8,120010,-1.488571729,0.42,1309.5,-0.533614061,26.19
2001-1-9,115968,-1.493462935,-0.06,1308.75,-0.534533973,26.175
2001-1-10,131074,-1.475183234,1.39,1327,-0.51214943,26.54
2001-1-11,96098,-1.517507531,0.6,1335,-0.502337027,26.7
2001-1-12,109664,-1.501091376,-0.37,1330,-0.508469779,26.6
2001-1-16,103751,-1.508246671,0.39,1335.25,-0.502030389,26.705
2001-1-17,120321,-1.48819539,0.47,1341.5,-0.49436445,26.83
2001-1-18,119657,-1.488998893,1.08,1356,-0.47657947,27.12
2001-1-19,111098,-1.4993561,-0.55,1348.5,-0.485778597,26.97
2001-1-22,111996,-1.498269434,0.7,1358,-0.474126369,27.16
2001-1-23,105167,-1.506533176,0.59,1366,-0.464313966,27.32
2001-1-24,104969,-1.506772774,0.31,1370.25,-0.459101127,27.405
2001-1-25,100601,-1.512058471,-0.38,1365,-0.465540517,27.3
2001-1-26,128918,-1.477792199,-0.13,1363.25,-0.46768698,27.265
2001-1-29,64459,-1.55579374,0.5,1370,-0.459407765,27.4
2001-1-30,75169,-1.542833618,0.93,1382.75,-0.443769248,27.655
2001-1-31,89199,-1.525855979,-0.67,1373.5,-0.455114839,27.47
2001-2-1,101160,-1.511382028,0.66,1382.5,-0.444075886,27.65
2001-2-2,185372,-1.409477472,-2.12,1353.25,-0.479952483,27.065
2001-2-5,92786,-1.521515367,0.65,1362,-0.469220168,27.24
2001-2-6,91631,-1.522913027,-0.42,1356.25,-0.476272832,27.125
2001-2-7,105779,-1.505792597,-0.5,1349.5,-0.484552047,26.99
2001-2-8,102130,-1.510208235,-1.06,1335.25,-0.502030389,26.705
2001-2-9,90360,-1.524451058,-1.07,1321,-0.519508732,26.42
2001-2-12,109773,-1.500959476,0.97,1333.75,-0.503870215,26.675
2001-2-13,115469,-1.494066773,-0.58,1326,-0.51337598,26.52
2001-2-14,138185,-1.466578245,-0.47,1319.75,-0.52104192,26.395
2001-2-15,102102,-1.510242118,1,1333,-0.504790128,26.66
2001-2-16,96917,-1.516516463,-2.1,1305,-0.539133537,26.1
2001-2-20,111887,-1.498401334,-1.51,1285.25,-0.563357906,25.705
2001-2-21,147007,-1.455902783,-2.24,1256.5,-0.598621229,25.13
2001-2-22,160101,-1.440057794,0.06,1257.25,-0.597701316,25.145
2001-2-23,145235,-1.458047072,-0.78,1247.5,-0.609660182,24.95
2001-2-26,121672,-1.486560551,2.06,1273.25,-0.578076511,25.465
2001-2-27,142507,-1.461348213,-0.73,1264,-0.589422101,25.28
2001-2-28,153327,-1.44825498,-1.74,1242,-0.616406209,24.84
2001-3-1,148305,-1.454332079,0.12,1243.5,-0.614566383,24.87
2001-3-2,145749,-1.457425083,-0.76,1234,-0.626218611,24.68
2001-3-5,104974,-1.506766724,0.79,1243.75,-0.614259746,24.875
2001-3-6,128365,-1.478461382,1.05,1256.75,-0.598314591,25.135
