Date,Close,Open,High,Low,Volume,volume_std,ROC,close_std,close_m,,,,,
2012/7/24,2374.8,2406.6,2371,2385.4,372650,0.636437184,,-1.270660724,7.916,,,mu_volume,,sd_volume
2012/7/25,2375,2397,2369.2,2375.6,351570,0.559102278,8.42176E-05,-1.270433371,7.916666667,,,199169.5285,,272580.6661
2012/7/26,2372.4,2390.6,2361.6,2367,385130,0.682221796,-0.001094737,-1.273388968,7.908,,,mu_close,,sd_close
2012/7/27,2370.8,2380.8,2363.6,2368.8,325460,0.46331412,-0.000674423,-1.275207797,7.902666667,,,3492.583564,,879.6868769
2012/7/30,2373,2388,2359.4,2364.2,336920,0.50535672,0.000927957,-1.272706907,7.91,,,,,
2012/7/31,2361,2376.4,2361,2363.2,273520,0.272765022,-0.00505689,-1.286348124,7.87,,,,,
2012/8/1,2358.4,2385,2358,2368.4,341240,0.52120524,-0.001101228,-1.289303721,7.861333333,,,,,
2012/8/2,2369.6,2372,2337.6,2347.8,308900,0.402561462,0.004748982,-1.276571918,7.898666667,,,,,
2012/8/3,2354.8,2368.8,2345.6,2359,303840,0.38399815,-0.00624578,-1.293396087,7.849333333,,,,,
2012/8/6,2360.6,2393.2,2360.2,2388.4,389610,0.698657297,0.002463054,-1.286802831,7.868666667,,,,,
2012/8/7,2385.4,2394.8,2385.2,2391.2,243930,0.164210001,0.010505804,-1.258610982,7.951333333,,,,,
2012/8/8,2396,2409,2389.2,2393.4,279980,0.296464429,0.004443699,-1.24656124,7.986666667,,,,,
2012/8/9,2393.6,2421.4,2385.2,2415.2,397190,0.726465579,-0.001001669,-1.249289483,7.978666667,,,,,
2012/8/10,2419.6,2422.2,2405.4,2409.8,246740,0.174518876,0.010862299,-1.219733512,8.065333333,,,,,
2012/8/13,2407.2,2408.8,2365.2,2373,261210,0.227604079,-0.005124814,-1.233829437,8.024,,,,,
2012/8/14,2364.8,2370.6,2331.6,2358.6,334000,0.494644295,-0.017613825,-1.282028405,7.882666667,,,,,
2012/8/15,2355.4,2356.6,2335.6,2340.4,175940,-0.085220749,-0.003974966,-1.292714026,7.851333333,,,,,
2012/8/16,2343,2343,2327.6,2330,46230,-0.561079884,-0.005264499,-1.30680995,7.81,,,,,
2012/8/17,2328.8,2330,2299.2,2303.6,27770,-0.628802956,-0.006060606,-1.322952058,7.762666667,,,,,
2012/8/20,2320.8,2328.8,2295.8,2316.8,299460,0.367929512,-0.003435246,-1.332046203,7.736,,,,,
2012/8/21,2316.2,2350.6,2314,2323.8,418650,0.805194567,-0.001982075,-1.337275336,7.720666667,,,,,
2012/8/22,2321.6,2331.2,2302.4,2307.4,298290,0.363637205,0.002331405,-1.331136788,7.738666667,,,,,
2012/8/23,2312.4,2331.8,2304.2,2318.4,440750,0.886271484,-0.003962784,-1.341595055,7.708,,,,,
2012/8/24,2316.2,2317,2293.2,2295.8,307990,0.399223001,0.001643314,-1.337275336,7.720666667,,,,,
2012/8/27,2295.8,2297,2248.2,2253.8,317410,0.433781578,-0.00880753,-1.360465406,7.652666667,,,,,
2012/8/28,2248,2269,2243.2,2254,331910,0.48697684,-0.020820629,-1.414802922,7.493333333,,,,,
2012/8/29,2246.6,2257.6,2230,2234.8,370400,0.628182746,-0.000622776,-1.416394398,7.488666667,,,,,
2012/8/30,2228.6,2238.2,2208.4,2224.8,421210,0.814586282,-0.008012107,-1.436856224,7.428666667,,,,,
2012/8/31,2215,2233,2214.4,2224.4,356770,0.5781792,-0.006102486,-1.45231627,7.383333333,,,,,
