Date,Volume,Volume_std ,Index_ROC,Close,close_std_sp500_F_mini,close_m_sp500_F_mini
5/6/2019,159243,-1.170875422,-0.51,2932.5,-0.927604912,586.5
5/7/2019,246925,-0.964308856,-1.42,2890.75,-1.003743204,578.15
5/8/2019,254506,-0.946449077,-0.12,2887.25,-1.010126055,577.45
5/9/2019,340659,-0.743484622,-0.5,2872.75,-1.036569294,574.55
5/10/2019,396057,-0.612974658,0.5,2887,-1.010581973,577.4
5/13/2019,383783,-0.641890491,-2.77,2807,-1.156475707,561.4
5/14/2019,181543,-1.118339731,1.15,2839.25,-1.097662295,567.85
5/15/2019,217593,-1.033410958,0.55,2855,-1.068939467,571
5/16/2019,220248,-1.027156148,0.82,2878.5,-1.026083182,575.7
5/17/2019,302279,-0.83390255,-0.57,2862,-1.056173765,572.4
5/20/2019,263910,-0.924294564,-0.63,2844,-1.088999855,568.8
5/21/2019,158252,-1.17321008,0.77,2866,-1.048879078,573.2
5/22/2019,176205,-1.130915315,-0.3,2857.5,-1.064380287,571.5
5/23/2019,300590,-0.837881599,-1.33,2819.5,-1.133679811,563.9
5/24/2019,175700,-1.132105025,0.43,2831.75,-1.111339833,566.35
5/28/2019,211121,-1.048658088,-0.94,2805,-1.16012305,561
5/29/2019,300492,-0.838112473,-0.89,2780,-1.205714842,556
5/30/2019,200684,-1.073246204,0.38,2790.5,-1.18656629,558.1
5/31/2019,327277,-0.775010748,-1.36,2752.5,-1.255865813,550.5
6/3/2019,416559,-0.564674805,-0.11,2749.5,-1.261336828,549.9
6/4/2019,266160,-0.918993878,2.02,2805,-1.16012305,561
6/5/2019,308867,-0.818382141,0.81,2827.75,-1.11863452,565.55
6/6/2019,260902,-0.931380993,0.64,2845.75,-1.08580843,569.15
6/7/2019,230882,-1.002103927,1.03,2875,-1.032466033,575
6/10/2019,166943,-1.152735296,0.5,2889.25,-1.006478712,577.85
6/11/2019,224585,-1.016938781,-0.08,2887,-1.010581973,577.4
6/12/2019,170033,-1.145455686,-0.21,2881,-1.021524003,576.2
6/13/2019,200890,-1.072760897,0.47,2894.5,-0.996904435,578.9
6/14/2019,82327,-1.352078793,-0.14,2890.5,-1.004199122,578.1
6/17/2019,19085,-1.501068127,0.05,2892,-1.001463615,578.4
6/18/2019,18230,-1.503082388,1.03,2921.75,-0.947209382,584.35
6/19/2019,14448,-1.511992253,0.25,2929,-0.933987763,585.8
6/20/2019,10647,-1.520946879,0.91,2955.75,-0.885204545,591.15
6/21/2019,220993,-1.025401032,-0.06,2953.899902,-0.888578516,590.7799805
6/24/2019,160580,-1.167725636,-0.06,2952,-0.892043314,590.4
6/25/2019,249219,-0.958904512,-1.02,2922,-0.946753464,584.4
6/26/2019,193670,-1.08977021,-0.14,2918,-0.954048151,583.6
6/27/2019,181879,-1.117548162,0.45,2931,-0.930340419,586.2
6/28/2019,167475,-1.151481978,0.45,2944.25,-0.90617677,588.85
7/1/2019,206810,-1.058814202,0.8,2967.75,-0.863320485,593.55
7/2/2019,191244,-1.095485528,0.4,2979.5,-0.841892343,595.9
7/5/2019,208873,-1.053954062,0.37,2990.5,-0.821831955,598.1
7/8/2019,183018,-1.114864837,-0.4,2978.5,-0.843716015,595.7
7/9/2019,174556,-1.134800129,0.12,2982,-0.837333164,596.4
7/10/2019,242428,-0.974903161,0.52,2997.5,-0.809066253,599.5
7/11/2019,209744,-1.051902108,0.22,3004,-0.797212387,600.8
7/12/2019,142816,-1.209575143,0.38,3015.5,-0.776240163,603.1
7/15/2019,132130,-1.234749869,0.06,3017.25,-0.773048738,603.45
7/16/2019,165821,-1.155378571,-0.34,3007,-0.791741372,601.4
7/17/2019,167007,-1.15258452,-0.73,2985,-0.831862149,597
7/18/2019,229943,-1.00431608,0.42,2997.5,-0.809066253,599.5
