Date,Price,Open,High,Low,Volume
6/24/2009,"2,415","2,354","2,420","2,343",1120000
6/25/2009,"2,399","2,411","2,429","2,357",1130000
6/26/2009,"2,388","2,414","2,433","2,375",859960
6/29/2009,"2,432","2,373","2,442","2,366",878960
6/30/2009,"2,398","2,432","2,443","2,385",1040000
7/1/2009,"2,442","2,402","2,457","2,392",998630
7/2/2009,"2,369","2,420","2,433","2,355",1190000
7/6/2009,"2,343","2,353","2,358","2,319",959300
7/7/2009,"2,312","2,351","2,366","2,296",980570
7/8/2009,"2,282","2,295","2,317","2,270",1130000
7/9/2009,"2,304","2,291","2,334","2,291",958310
7/10/2009,"2,273","2,295","2,310","2,269",911280
7/13/2009,"2,333","2,265","2,362","2,252",1230000
7/14/2009,"2,362","2,355","2,379","2,340",1130000
7/15/2009,"2,443","2,390","2,461","2,383",1290000
7/16/2009,"2,458","2,440","2,493","2,434",1300000
7/17/2009,"2,471","2,482","2,487","2,453",902100
7/20/2009,"2,497","2,498","2,511","2,481",782560
7/21/2009,"2,518","2,512","2,548","2,495",1080000
7/22/2009,"2,521","2,529","2,538","2,493",864810
7/23/2009,"2,584","2,534","2,600","2,518",1120000
7/24/2009,"2,579","2,575","2,613","2,566",1030000
7/27/2009,"2,595","2,619","2,633","2,578",844800
7/28/2009,"2,570","2,615","2,624","2,561",1040000
7/29/2009,"2,597","2,592","2,618","2,551",1060000
7/30/2009,"2,657","2,624","2,667","2,600",1230000
7/31/2009,"2,636","2,642","2,668","2,622",1060000
8/3/2009,"2,673","2,651","2,695","2,629",914600
8/4/2009,"2,669","2,669","2,684","2,643",893130
8/5/2009,"2,643","2,675","2,688","2,630",961650
8/6/2009,"2,660","2,663","2,685","2,638",773340
8/7/2009,"2,706","2,650","2,718","2,634",1090000
8/10/2009,"2,690","2,691","2,697","2,675",556810
8/11/2009,"2,651","2,700","2,712","2,641",950390
8/12/2009,"2,686","2,658","2,705","2,628",925830
8/13/2009,"2,704","2,690","2,734","2,685",1020000
8/14/2009,"2,665","2,709","2,724","2,656",907330
8/17/2009,"2,602","2,663","2,664","2,583",1420000
8/18/2009,"2,620","2,614","2,638","2,601",876090
8/19/2009,"2,620","2,615","2,646","2,584",1030000
