Date	Price	Open	High	Low	Vol.	Change %						
30-Sep-21	"14,682.50"	"14,769.75"	"14,883.50"	"14,670.25"	9.14K	-0.39%						
29-Sep-21	"14,739.75"	"14,769.25"	"14,926.00"	"14,711.00"	7.19K	-0.17%						
28-Sep-21	"14,764.75"	"15,172.25"	"15,192.25"	"14,740.75"	7.73K	-2.83%						
27-Sep-21	"15,194.75"	"15,319.00"	"15,399.25"	"15,084.00"	5.70K	-0.81%						
24-Sep-21	"15,318.75"	"15,300.25"	"15,334.25"	"15,176.75"	470.51K	0.10%						
23-Sep-21	"15,303.50"	"15,178.25"	"15,347.00"	"15,175.25"	4.53K	0.92%						
22-Sep-21	"15,163.50"	"14,992.75"	"15,227.00"	"14,930.50"	595.84K	0.93%						
21-Sep-21	"15,024.00"	"14,992.00"	"15,163.25"	"14,963.25"	657.00K	0.10%						
20-Sep-21	"15,009.50"	"15,284.00"	"15,338.25"	"14,807.50"	834.32K	-3.08%						
17-Sep-21	"15,486.67"	"15,502.75"	"15,547.00"	"15,474.00"	7.47K	-0.20%						
16-Sep-21	"15,517.75"	"15,516.50"	"15,542.00"	"15,369.50"	105.43K	0.09%						
15-Sep-21	"15,504.00"	"15,395.50"	"15,521.75"	"15,315.25"	156.77K	0.76%						
14-Sep-21	"15,387.00"	"15,452.25"	"15,530.75"	"15,351.25"	237.82K	-0.32%						
13-Sep-21	"15,436.75"	"15,452.50"	"15,565.00"	"15,350.25"	363.28K	-0.07%						
11-Sep-21	"15,447.75"	"15,447.80"	"15,447.80"	"15,447.75"	396.89K	0.04%						
10-Sep-21	"15,441.50"	"15,561.00"	"15,668.00"	"15,433.50"	402.82K	-0.75%						
9-Sep-21	"15,558.75"	"15,610.00"	"15,675.75"	"15,545.75"	531.29K	-0.39%						
8-Sep-21	"15,620.00"	"15,671.00"	"15,691.00"	"15,523.75"	559.40K	-0.35%						
7-Sep-21	"15,674.75"	"15,656.00"	"15,708.75"	"15,606.75"	542.06K	-0.10%						
6-Sep-21	"15,691.00"	"15,652.75"	"15,707.75"	"15,642.75"	59.75K	0.25%						
5-Sep-21	"15,652.25"	"15,655.00"	"15,663.50"	"15,652.25"	2.79K	-0.02%						
4-Sep-21	"15,655.00"	"15,655.00"	"15,655.00"	"15,655.00"	-	0.02%						
3-Sep-21	"15,651.50"	"15,601.00"	"15,677.50"	"15,552.25"	462.87K	0.32%						
2-Sep-21	"15,601.00"	"15,610.00"	"15,682.00"	"15,551.75"	463.64K	-0.05%						
1-Sep-21	"15,609.25"	"15,599.50"	"15,699.00"	"15,578.50"	465.49K	0.17%						
31-Aug-21	"15,582.50"	"15,605.50"	"15,677.25"	"15,517.75"	521.13K	-0.10%						
30-Aug-21	"15,597.50"	"15,432.75"	"15,617.75"	"15,420.00"	417.56K	1.10%						
28-Aug-21	"15,428.25"	"15,428.20"	"15,428.25"	"15,428.20"	435.91K	0.01%						
27-Aug-21	"15,426.50"	"15,286.00"	"15,443.75"	"15,265.50"	441.05K	0.99%						
26-Aug-21	"15,274.75"	"15,367.25"	"15,368.25"	"15,255.25"	564.38K	-0.58%						
25-Aug-21	"15,364.25"	"15,362.25"	"15,397.00"	"15,333.00"	405.23K	0.06%						
24-Aug-21	"15,355.50"	"15,327.00"	"15,384.00"	"15,309.50"	365.58K	0.33%						
23-Aug-21	"15,304.50"	"15,090.00"	"15,337.50"	"15,086.50"	412.59K	1.39%						
21-Aug-21	"15,095.00"	"15,095.00"	"15,095.00"	"15,095.00"	-	0.05%						
20-Aug-21	"15,086.75"	"14,943.25"	"15,100.00"	"14,851.00"	504.46K	1.06%						
19-Aug-21	"14,928.00"	"14,840.00"	"14,999.00"	"14,710.50"	734.18K	0.53%						
18-Aug-21	"14,849.25"	"14,970.25"	"15,037.25"	"14,806.50"	568.85K	-0.99%						
