日期,開市,高,低,收市,成交量
7/24/2012,"2,374.80","2,406.60","2,371.00","2,385.40",372650
7/25/2012,"2,375.00","2,397.00","2,369.20","2,375.60",351570
7/26/2012,"2,372.40","2,390.60","2,361.60","2,367.00",385130
7/27/2012,"2,370.80","2,380.80","2,363.60","2,368.80",325460
7/30/2012,"2,373.00","2,388.00","2,359.40","2,364.20",336920
7/31/2012,"2,361.00","2,376.40","2,361.00","2,363.20",273520
8/1/2012,"2,358.40","2,385.00","2,358.00","2,368.40",341240
8/2/2012,"2,369.60","2,372.00","2,337.60","2,347.80",308900
8/3/2012,"2,354.80","2,368.80","2,345.60","2,359.00",303840
8/6/2012,"2,360.60","2,393.20","2,360.20","2,388.40",389610
8/7/2012,"2,385.40","2,394.80","2,385.20","2,391.20",243930
8/8/2012,"2,396.00","2,409.00","2,389.20","2,393.40",279980
8/9/2012,"2,393.60","2,421.40","2,385.20","2,415.20",397190
8/10/2012,"2,419.60","2,422.20","2,405.40","2,409.80",246740
8/13/2012,"2,407.20","2,408.80","2,365.20","2,373.00",261210
8/14/2012,"2,364.80","2,370.60","2,331.60","2,358.60",334000
8/15/2012,"2,355.40","2,356.60","2,335.60","2,340.40",175940
8/16/2012,"2,343.00","2,343.00","2,327.60","2,330.00",46230
8/17/2012,"2,328.80","2,330.00","2,299.20","2,303.60",27770
8/20/2012,"2,320.80","2,328.80","2,295.80","2,316.80",299460
8/21/2012,"2,316.20","2,350.60","2,314.00","2,323.80",418650
8/22/2012,"2,321.60","2,331.20","2,302.40","2,307.40",298290
8/23/2012,"2,312.40","2,331.80","2,304.20","2,318.40",440750
8/24/2012,"2,316.20","2,317.00","2,293.20","2,295.80",307990
8/27/2012,"2,295.80","2,297.00","2,248.20","2,253.80",317410
8/28/2012,"2,248.00","2,269.00","2,243.20","2,254.00",331910
8/29/2012,"2,246.60","2,257.60","2,230.00","2,234.80",370400
8/30/2012,"2,228.60","2,238.20","2,208.40","2,224.80",421210
8/31/2012,"2,215.00","2,233.00","2,214.40","2,224.40",356770
9/4/2012,"2,232.80","2,240.60","2,206.20","2,211.40",325280
9/5/2012,"2,208.20","2,217.80","2,198.80","2,204.80",359870
9/6/2012,"2,210.00","2,243.80","2,205.40","2,225.00",454890
9/7/2012,"2,248.20","2,362.80","2,242.00","2,338.20",726820
9/10/2012,"2,340.20","2,347.80","2,326.20","2,335.60",407600
9/11/2012,"2,331.60","2,332.00","2,302.20","2,318.20",474770
9/12/2012,"2,329.00","2,353.80","2,304.20","2,323.80",522770
9/13/2012,"2,328.60","2,336.40","2,295.60","2,316.80",518900
9/14/2012,"2,335.00","2,354.00","2,304.20","2,326.40",593680
9/17/2012,"2,320.00","2,323.80","2,265.20","2,277.20",399680
9/18/2012,"2,261.60","2,263.40","2,231.00","2,238.80",270270
9/19/2012,"2,238.60","2,255.00","2,232.60","2,245.40",109730
9/20/2012,"2,245.00","2,245.80","2,189.60","2,200.40",65810
9/21/2012,"2,193.00","2,216.00","2,184.20","2,203.70",34940
9/24/2012,"2,200.00","2,242.80","2,185.20","2,228.80",638030
9/25/2012,"2,213.00","2,237.00","2,208.00","2,222.20",500100
9/26/2012,"2,210.20","2,229.20","2,192.60","2,198.00",470420
9/27/2012,"2,198.00","2,320.00","2,197.80","2,264.00",732600
9/28/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/1/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/2/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/3/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/4/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/5/2012,"2,250.00","2,316.40","2,240.60","2,303.00",726320
10/8/2012,"2,306.40","2,313.60","2,262.00","2,271.00",449040
10/9/2012,"2,283.20","2,345.00","2,280.60","2,325.60",687670
10/10/2012,"2,313.40","2,333.60","2,310.20","2,327.00",502020
10/11/2012,"2,320.40","2,328.00","2,305.40","2,313.40",504120
10/12/2012,"2,318.20","2,343.60","2,288.60","2,308.60",616580
10/15/2012,"2,300.00","2,324.80","2,283.00","2,295.20",450910
10/16/2012,"2,305.00","2,323.00","2,290.20","2,300.20",540960
10/17/2012,"2,309.60","2,319.00","2,282.20","2,307.00",478410
10/18/2012,"2,318.00","2,344.20","2,310.80","2,336.80",172720
10/19/2012,"2,337.00","2,338.40","2,328.00","2,334.30",26200
10/22/2012,"2,334.80","2,365.00","2,328.20","2,355.20",419080
10/23/2012,"2,355.00","2,357.80","2,323.20","2,328.80",451250
10/24/2012,"2,318.00","2,337.80","2,315.40","2,322.60",454610
10/25/2012,"2,322.00","2,334.40","2,304.00","2,307.80",454630
10/26/2012,"2,305.80","2,309.40","2,245.40","2,256.20",511300
10/31/2012,"2,252.00","2,261.00","2,238.40","2,254.60",484960
11/1/2012,"2,257.40","2,318.20","2,255.40","2,306.40",588820
11/2/2012,"2,311.20","2,316.00","2,289.20","2,310.80",442900
11/5/2012,"2,305.40","2,330.00","2,293.00","2,306.20",500110
11/6/2012,"2,309.00","2,314.60","2,261.20","2,290.20",557390
11/7/2012,"2,296.80","2,310.00","2,279.00","2,291.40",592130
11/8/2012,"2,275.00","2,282.80","2,243.80","2,255.00",531770
11/9/2012,"2,247.60","2,254.60","2,236.20","2,241.80",397940
11/12/2012,"2,245.00","2,257.40","2,231.00","2,247.80",476240
11/13/2012,"2,250.00","2,251.00","2,207.20","2,213.20",448450
11/14/2012,"2,215.20","2,224.20","2,210.40","2,219.40",279330
11/15/2012,"2,206.00","2,223.60","2,189.20","2,198.40",163120
11/16/2012,"2,188.40","2,194.00","2,166.00","2,169.40",57860
11/19/2012,"2,183.40","2,184.40","2,156.20","2,174.80",499290
11/20/2012,"2,182.00","2,188.40","2,166.20","2,171.20",473300
11/21/2012,"2,177.00","2,201.00","2,158.20","2,191.80",718400
11/23/2012,"2,193.00","2,209.60","2,185.20","2,197.60",622050
11/26/2012,"2,197.20","2,197.60","2,173.80","2,180.80",475870
11/27/2012,"2,177.20","2,177.60","2,156.60","2,161.40",439200
11/28/2012,"2,154.00","2,154.00","2,137.00","2,140.20",388940
11/29/2012,"2,140.40","2,149.80","2,125.40","2,132.60",384650
11/30/2012,"2,123.80","2,147.80","2,121.00","2,140.20",580780
12/3/2012,"2,139.60","2,156.20","2,115.60","2,124.60",565400
12/4/2012,"2,112.00","2,139.40","2,111.80","2,132.40",577420
12/5/2012,"2,133.60","2,226.00","2,131.40","2,210.40",814910
12/6/2012,"2,218.00","2,222.20","2,200.20","2,207.20",536210
12/7/2012,"2,208.60","2,258.80","2,205.60","2,246.80",763750
12/10/2012,"2,262.00","2,277.00","2,255.80","2,269.00",634590
12/11/2012,"2,267.00","2,272.60","2,257.20","2,264.60",498510
12/12/2012,"2,264.00","2,275.60","2,255.00","2,266.20",594350
12/13/2012,"2,268.00","2,268.60","2,247.00","2,251.80",538090
12/14/2012,"2,253.00","2,375.60","2,251.40","2,361.20",823840
12/17/2012,"2,372.80","2,379.00","2,362.00","2,368.80",436670
12/18/2012,"2,373.00","2,410.00","2,347.40","2,367.00",357600
12/19/2012,"2,375.00","2,385.40","2,359.40","2,374.00",116980
12/20/2012,"2,362.60","2,397.80","2,351.20","2,387.00",67750
12/21/2012,"2,390.20","2,414.60","2,370.60","2,377.80",34100
12/24/2012,"2,389.00","2,417.60","2,388.00","2,395.20",677620
12/26/2012,"2,453.60","2,466.20","2,453.20","2,462.20",418390
12/27/2012,"2,472.00","2,497.00","2,453.60","2,461.20",613280
12/28/2012,"2,465.80","2,502.00","2,462.80","2,491.40",662840
12/31/2012,"2,501.60","2,544.00","2,501.00","2,537.40",601830
1/2/2013,"2,501.60","2,544.00","2,501.00","2,537.40",601830
