日期,開市,高,低,收市,成交量
2021-09-30,"7,076.50","7,132.00","7,033.50","7,073.50",130980
2021-09-29,"7,002.50","7,085.50","6,976.00","7,075.00",101470
2021-09-28,"7,030.00","7,050.00","6,975.50","6,997.00",105300
2021-09-27,"7,043.00","7,097.50","7,010.50","7,032.00",79920
2021-09-24,"7,063.00","7,069.50","7,007.00","7,020.50",77370
2021-09-23,"7,045.50","7,101.50","7,037.00","7,048.00",100950
2021-09-22,"6,919.00","7,073.00","6,898.00","7,047.00",111640
2021-09-21,"6,888.00","6,973.50","6,879.50","6,938.50",120140
2021-09-20,"6,940.00","6,947.50","6,791.50","6,867.50",139700
2021-09-17,"7,057.50","7,094.00","7,026.00","7,031.50",9360
2021-09-16,"7,058.00","7,075.50","7,024.00","7,031.00",86060
2021-09-15,"7,034.00","7,051.00","7,010.00","7,034.00",194620
2021-09-14,"7,071.00","7,078.50","7,018.00","7,036.00",453600
2021-09-13,"7,035.00","7,092.50","7,014.50","7,069.50",413980
2021-09-10,"7,005.50","7,057.50","7,001.00","7,027.00",226060
2021-09-09,"7,082.00","7,082.00","6,991.00","7,023.50",165090
2021-09-08,"7,109.00","7,131.00","7,057.50","7,101.00",112980
2021-09-07,"7,174.00","7,179.50","7,113.50","7,151.00",84040
2021-09-06,"7,134.50","7,196.00","7,119.50","7,189.00",55140
2021-09-03,"7,146.50","7,180.00","7,119.50","7,138.50",74470
2021-09-02,"7,143.50","7,170.50","7,123.00","7,164.50",72070
2021-09-01,"7,108.00","7,174.00","7,108.00","7,137.50",91310
2021-08-31,"7,130.00","7,163.50","7,076.00","7,096.50",108150
2021-08-30,"7,149.50","7,151.60","7,143.10","7,146.30",
2021-08-27,"7,108.50","7,144.50","7,092.50","7,134.00",54.27
2021-08-26,"7,116.00","7,131.00","7,077.50","7,111.00",62.69
2021-08-25,"7,089.00","7,133.00","7,084.50","7,127.00",56.02
2021-08-24,"7,100.00","7,111.50","7,053.50","7,092.00",73.29
2021-08-23,"7,090.00","7,131.00","7,064.00","7,092.00",64.86
2021-08-20,"7,053.50","7,095.00","7,010.50","7,067.00",91.32
2021-08-19,"7,089.50","7,099.50","6,970.50","7,032.00",130.61
2021-08-18,"7,133.50","7,171.50","7,090.00","7,128.50",67.10
2021-08-17,"7,129.50","7,153.00","7,074.50","7,137.50",92.65
2021-08-16,"7,173.00","7,173.00","7,079.50","7,112.00",91.53
2021-08-13,"7,174.00","7,189.00","7,159.50","7,184.00",58.11
2021-08-12,"7,171.50","7,181.00","7,147.00","7,159.00",69.76
2021-08-11,"7,114.50","7,174.00","7,106.50","7,153.00",84.59
2021-08-10,"7,072.50","7,115.50","7,052.50","7,100.50",64.03
2021-08-09,"7,045.50","7,077.50","7,025.50","7,076.00",53.76
2021-08-06,"7,058.00","7,074.00","7,041.00","7,063.50",53.64
2021-08-05,"7,050.00","7,068.50","7,033.50","7,059.50",64.57
2021-08-04,"7,035.00","7,072.00","7,034.00","7,051.50",60.72
2021-08-03,"6,996.50","7,054.50","6,991.00","7,036.50",79.96
2021-08-02,"6,968.00","7,041.50","6,968.00","7,014.50",89.18
2021-07-30,"6,977.00","6,985.00","6,922.50","6,966.50",97.52
2021-07-29,"6,948.00","7,022.00","6,930.00","7,007.50",85.94
2021-07-28,"6,932.00","6,955.50","6,903.50","6,950.50",73.51
2021-07-27,"6,957.00","6,964.00","6,857.00","6,927.00",90.96
2021-07-26,"6,961.50","6,968.50","6,909.00","6,951.50",66.16
2021-07-23,"6,915.00","6,971.50","6,903.00","6,961.50",66.38
2021-07-22,"6,940.00","6,950.00","6,884.50","6,893.00",84.30
2021-07-21,"6,850.00","6,944.50","6,807.50","6,931.50",110.58
2021-07-20,"6,783.50","6,859.00","6,754.00","6,813.50",160.45
2021-07-19,"6,900.00","6,902.00","6,735.50","6,768.00",152.11
2021-07-16,"6,943.00","6,992.00","6,904.50","6,930.50",116.48
2021-07-15,"7,014.00","7,041.50","6,929.50","6,937.00",114.09
2021-07-14,"7,050.50","7,062.00","7,000.50","7,028.00",75.88
2021-07-13,"7,060.50","7,080.50","7,043.50","7,052.50",58.99
2021-07-12,"7,050.50","7,065.00","6,995.00","7,063.50",68.58
2021-07-09,"6,952.00","7,056.00","6,937.50","7,044.00",98.90
2021-07-08,"7,083.00","7,083.00","6,911.50","6,960.50",148.88
2021-07-07,"7,025.50","7,090.50","7,018.00","7,079.00",79.67
2021-07-06,"7,094.00","7,102.50","7,004.00","7,022.50",85.23
2021-07-05,"7,057.00","7,099.00","7,040.00","7,094.00",45.69
2021-07-02,"7,074.50","7,095.00","7,039.50","7,047.00",75.10
2021-07-01,"6,993.00","7,081.00","6,983.50","7,051.00",105.41
2021-06-30,"7,022.50","7,033.50","6,938.50","6,980.50",118.23
2021-06-29,"7,008.00","7,052.00","6,995.00","7,020.00",64.57
2021-06-28,"7,084.50","7,087.50","6,999.50","7,003.50",71.21
2021-06-25,"7,054.00","7,082.00","7,041.50","7,067.50",54.52
2021-06-24,"7,009.00","7,053.50","7,001.00","7,047.50",78.12
2021-06-23,"7,012.50","7,055.00","6,992.50","7,012.50",77.62
2021-06-22,"7,013.50","7,026.00","6,986.00","7,023.00",69.38
2021-06-21,"6,932.50","7,017.50","6,872.00","6,990.00",100.72
2021-06-18,"7,153.50","7,159.50","7,114.50","7,120.00",4.34
2021-06-17,"7,153.00","7,172.00","7,127.00","7,151.50",100.21
2021-06-16,"7,179.00","7,217.50","7,149.00","7,189.50",185.54
2021-06-15,"7,164.00","7,189.50","7,153.50","7,168.50",379.20
2021-06-14,"7,156.50","7,190.50","7,136.00","7,154.50",419.04
2021-06-11,"7,087.00","7,157.00","7,074.50","7,137.00",220.53
2021-06-10,"7,083.50","7,117.50","7,076.50","7,083.00",102.65
2021-06-09,"7,096.50","7,107.50","7,043.00","7,081.00",98.75
2021-06-08,"7,084.50","7,120.00","7,070.00","7,100.00",66.31
2021-06-07,"7,076.50","7,097.00","7,037.00","7,081.50",53.61
2021-06-04,"7,058.00","7,083.00","7,036.00","7,066.00",54.99
2021-06-03,"7,106.50","7,120.00","7,009.50","7,068.50",80.01
2021-06-02,"7,071.00","7,116.50","7,060.00","7,095.00",93.41
2021-06-01,"7,042.00","7,112.50","6,982.50","7,078.00",114.48
2021-05-31,"7,036.80","7,036.80","7,036.80","7,036.80",
2021-05-28,"7,039.00","7,050.00","7,004.00","7,023.50",97.22
2021-05-27,"7,017.50","7,038.00","6,991.00","7,010.50",101.43
2021-05-26,"7,015.50","7,043.00","6,990.50","7,017.50",77.96
2021-05-25,"7,051.00","7,070.50","6,992.00","7,026.50",78.50
2021-05-24,"7,009.50","7,056.50","7,004.50","7,045.50",56.82
2021-05-21,"7,018.50","7,028.00","6,962.50","7,008.50",82.82
2021-05-20,"6,949.00","7,020.00","6,916.00","7,005.00",94.86
2021-05-19,"6,976.50","6,993.50","6,876.50","6,929.00",119.52
2021-05-18,"7,039.50","7,084.50","6,988.00","7,026.50",77.98
2021-05-17,"7,043.00","7,052.00","6,964.50","7,014.50",80.42
2021-05-14,"6,958.00","7,052.50","6,958.00","7,024.50",71.71
2021-05-13,"6,951.50","6,969.00","6,799.00","6,937.00",119.68
2021-05-12,"6,949.00","7,002.50","6,868.50","6,983.50",103.25
2021-05-11,"7,052.00","7,054.50","6,885.00","6,912.00",145.84
2021-05-10,"7,121.00","7,143.50","7,045.00","7,102.50",81.43
2021-05-07,"7,071.00","7,126.00","7,054.00","7,103.00",79.37
2021-05-06,"7,010.00","7,076.50","7,000.00","7,041.00",80.99
2021-05-05,"6,919.50","7,025.00","6,914.00","7,016.00",86.17
2021-05-04,"6,968.50","7,008.00","6,878.00","6,881.00",112.27
2021-04-30,"6,928.50","6,977.50","6,900.00","6,937.50",103.65
2021-04-29,"6,941.50","6,987.00","6,907.50","6,931.50",82.79
2021-04-28,"6,912.50","6,953.00","6,904.50","6,931.50",68.67
2021-04-27,"6,935.00","6,944.00","6,893.00","6,896.50",68.52
2021-04-26,"6,878.50","6,937.50","6,878.00","6,934.00",58.70
2021-04-23,"6,869.00","6,910.50","6,856.00","6,900.00",57.12
2021-04-22,"6,882.50","6,907.50","6,853.00","6,904.00",75.34
2021-04-21,"6,834.50","6,895.00","6,803.50","6,864.00",79.14
2021-04-20,"6,957.50","6,969.50","6,813.50","6,819.00",107.59
2021-04-19,"6,975.00","7,001.50","6,940.00","6,966.00",91.05
2021-04-16,"6,963.50","6,999.00","6,946.50","6,975.00",103.44
2021-04-15,"6,891.00","6,963.50","6,889.00","6,951.50",88.20
2021-04-14,"6,848.50","6,900.50","6,838.50","6,894.50",78.07
2021-04-13,"6,854.00","6,858.00","6,814.50","6,848.50",67.12
2021-04-12,"6,880.50","6,884.50","6,810.00","6,850.50",78.07
2021-04-09,"6,914.00","6,917.00","6,864.00","6,878.50",82.36
2021-04-08,"6,869.50","6,910.00","6,844.00","6,892.00",86.29
2021-04-07,"6,787.50","6,859.00","6,781.00","6,843.00",92.48
2021-04-06,"6,761.00","6,797.00","6,709.00","6,773.00",93.38
2021-04-01,"6,678.50","6,738.00","6,669.50","6,692.00",70.75
2021-03-31,"6,731.00","6,740.00","6,662.00","6,679.50",115.72
2021-03-30,"6,730.00","6,744.00","6,678.50","6,731.50",75.26
2021-03-29,"6,703.00","6,728.00","6,655.00","6,693.50",77.40
2021-03-26,"6,656.50","6,734.50","6,648.00","6,691.50",76.12
2021-03-25,"6,645.50","6,681.50","6,567.50","6,624.50",111.45
2021-03-24,"6,614.00","6,667.00","6,593.00","6,662.00",73.08
2021-03-23,"6,662.50","6,667.00","6,602.00","6,650.00",78.58
2021-03-22,"6,661.00","6,679.00","6,591.50","6,674.00",76.95
2021-03-19,"6,742.50","6,753.50","6,694.00","6,711.50",6.62
2021-03-18,"6,794.00","6,806.00","6,714.50","6,781.50",99.83
2021-03-17,"6,785.50","6,799.00","6,746.50","6,763.00",197.41
2021-03-16,"6,762.50","6,808.00","6,762.50","6,794.00",374.94
2021-03-15,"6,792.50","6,804.00","6,716.00","6,741.00",359.56
2021-03-12,"6,725.00","6,793.00","6,691.00","6,754.50",171.97
2021-03-11,"6,711.50","6,756.00","6,692.00","6,726.50",117.68
2021-03-10,"6,709.00","6,726.50","6,663.00","6,715.00",89.35
2021-03-09,"6,695.00","6,773.00","6,669.00","6,725.50",101.57
2021-03-08,"6,700.00","6,717.50","6,595.50","6,708.50",125.29
2021-03-05,"6,559.00","6,698.00","6,536.50","6,609.50",137.53
2021-03-04,"6,613.50","6,655.00","6,549.50","6,632.50",101.83
2021-03-03,"6,612.50","6,677.00","6,586.00","6,638.50",115.78
2021-03-02,"6,574.50","6,633.00","6,523.00","6,594.00",96.75
2021-03-01,"6,501.00","6,585.00","6,488.50","6,550.50",134.40
2021-02-26,"6,548.50","6,618.00","6,432.00","6,439.50",243.89
2021-02-25,"6,646.00","6,675.50","6,540.00","6,627.50",112.81
2021-02-24,"6,573.00","6,646.00","6,523.00","6,623.00",110.54
2021-02-23,"6,541.50","6,634.50","6,511.50","6,576.00",121.80
2021-02-22,"6,586.00","6,586.00","6,505.50","6,582.00",88.53
2021-02-19,"6,584.00","6,607.50","6,538.50","6,605.50",119.78
2021-02-18,"6,680.00","6,693.50","6,551.00","6,570.00",121.91
2021-02-17,"6,684.00","6,718.00","6,647.50","6,661.00",101.81
2021-02-16,"6,715.00","6,749.50","6,683.00","6,696.00",108.62
2021-02-15,"6,576.00","6,727.50","6,570.00","6,715.50",108.58
2021-02-12,"6,476.00","6,565.50","6,431.00","6,532.00",85.50
2021-02-11,"6,457.00","6,504.00","6,453.00","6,476.00",64.77
2021-02-10,"6,502.00","6,531.00","6,427.50","6,468.00",97.64
2021-02-09,"6,478.00","6,504.00","6,445.50","6,481.50",74.52
2021-02-08,"6,479.00","6,518.00","6,450.00","6,481.00",89.94
2021-02-05,"6,445.50","6,468.00","6,406.00","6,442.50",95.76
2021-02-04,"6,473.00","6,506.00","6,427.00","6,451.00",85.82
2021-02-03,"6,499.50","6,526.50","6,439.00","6,452.50",80.07
2021-02-02,"6,442.50","6,485.50","6,427.50","6,471.50",88.68
2021-02-01,"6,325.00","6,448.00","6,324.00","6,421.50",105.86
2021-01-29,"6,459.00","6,471.50","6,300.00","6,361.00",170.89
2021-01-28,"6,481.50","6,509.00","6,390.50","6,479.00",145.32
2021-01-27,"6,615.50","6,615.50","6,460.00","6,523.50",124.08
2021-01-26,"6,621.00","6,656.50","6,578.00","6,616.50",77.68
2021-01-25,"6,664.50","6,673.50","6,563.50","6,589.50",99.18
2021-01-22,"6,680.50","6,685.50","6,605.50","6,644.00",83.96
2021-01-21,"6,715.50","6,736.00","6,659.00","6,678.50",100.69
2021-01-20,"6,680.00","6,716.50","6,649.50","6,688.00",94.96
2021-01-19,"6,700.00","6,725.00","6,650.00","6,666.00",81.96
2021-01-18,"6,676.50","6,697.50","6,662.50","6,679.00",50.18
2021-01-15,"6,746.00","6,757.00","6,629.50","6,684.50",118.16
2021-01-14,"6,708.50","6,766.50","6,692.00","6,751.50",82.29
2021-01-13,"6,705.50","6,728.00","6,687.00","6,705.50",66.64
2021-01-12,"6,776.50","6,776.50","6,673.50","6,709.50",82.81
2021-01-11,"6,838.00","6,838.00","6,721.50","6,758.00",99.03
2021-01-08,"6,834.00","6,865.00","6,789.50","6,818.00",102.28
2021-01-07,"6,801.00","6,910.00","6,746.50","6,829.50",125.02
2021-01-06,"6,563.50","6,819.00","6,553.50","6,809.50",186.55
2021-01-05,"6,516.00","6,600.50","6,467.00","6,550.50",104.12
2021-01-04,"6,438.00","6,615.00","6,418.50","6,529.50",148.77
2020-12-31,"6,471.50","6,474.00","6,380.50","6,420.00",47.73
2020-12-30,"6,541.50","6,574.50","6,456.50","6,506.50",86.81
2020-12-29,"6,518.00","6,630.00","6,508.00","6,560.00",95.01
2020-12-24,"6,446.50","6,488.50","6,427.50","6,454.50",29.94
2020-12-23,"6,382.00","6,476.00","6,364.00","6,445.50",75.76
2020-12-22,"6,360.00","6,418.00","6,322.00","6,406.00",75.29
2020-12-21,"6,430.00","6,431.50","6,265.00","6,371.00",153.48
2020-12-18,"6,560.00","6,611.00","6,536.50","6,592.00",2.70
2020-12-17,"6,566.50","6,605.00","6,545.00","6,554.50",106.27
