日期,收市,開市,高,低,成交量,更改%
2021年9月30日,"24,524.00","24,519.00","24,622.00","24,278.00",117.28K,0.16%
2021年9月29日,"24,484.00","24,489.00","24,499.00","24,041.00",25.73K,0.04%
2021年9月28日,"24,475.00","24,182.00","24,680.00","24,054.00",147.18K,1.27%
2021年9月27日,"24,168.00","24,179.00","24,490.00","23,920.00",181.87K,0.02%
2021年9月24日,"24,162.00","24,524.00","24,649.00","24,034.00",175.02K,-1.46%
2021年9月23日,"24,519.00","24,152.00","24,792.00","23,993.00",135.03K,1.42%
2021年9月21日,"24,175.00","24,054.00","24,260.00","23,666.00",129.47K,0.46%
2021年9月20日,"24,064.00","24,869.00","24,913.00","23,831.00",144.00K,-3.29%
2021年9月17日,"24,883.00","24,649.00","24,925.00","24,406.00",123.21K,0.96%
2021年9月16日,"24,647.00","25,042.00","25,058.00","24,478.00",132.46K,-1.56%
2021年9月15日,"25,038.00","25,455.00","25,479.00","24,982.00",136.82K,-1.59%
2021年9月14日,"25,442.00","25,768.00","25,891.00","25,322.00",134.68K,-1.33%
2021年9月13日,"25,785.00","26,147.00","26,190.00","25,532.00",115.45K,-1.36%
2021年9月10日,"26,140.00","25,630.00","26,174.00","25,617.00",115.34K,1.93%
2021年9月9日,"25,646.00","26,220.00","26,311.00","25,581.00",134.56K,-2.16%
2021年9月8日,"26,213.00","26,206.00","26,478.00","26,072.00",102.85K,-0.03%
2021年9月7日,"26,221.00","26,086.00","26,393.00","26,030.00",101.11K,0.54%
2021年9月6日,"26,079.00","25,842.00","26,111.00","25,707.00",92.41K,0.91%
2021年9月3日,"25,845.00","26,015.00","26,077.00","25,722.00",101.77K,-0.68%
2021年9月2日,"26,023.00","25,905.00","26,265.00","25,860.00",118.98K,0.37%
2021年9月1日,"25,926.00","25,750.00","25,976.00","25,575.00",125.09K,0.66%
2021年8月31日,"25,756.00","25,418.00","25,793.00","25,005.00",147.68K,1.14%
2021年8月30日,"25,466.00","25,360.00","25,530.00","25,225.00",19.12K,0.39%
2021年8月27日,"25,366.00","25,404.00","25,649.00","25,295.00",121.13K,-0.20%
2021年8月26日,"25,416.00","25,676.00","25,696.00","25,229.00",165.40K,-1.03%
2021年8月25日,"25,680.00","25,628.00","25,955.00","25,533.00",154.75K,0.16%
2021年8月24日,"25,638.00","25,104.00","25,706.00","25,095.00",126.43K,2.21%
2021年8月23日,"25,084.00","24,785.00","25,444.00","24,766.00",135.09K,1.23%
2021年8月20日,"24,780.00","25,208.00","25,392.00","24,554.00",165.60K,-1.72%
2021年8月19日,"25,213.00","25,788.00","25,870.00","25,144.00",125.88K,-2.11%
2021年8月18日,"25,757.00","25,700.00","25,954.00","25,554.00",102.04K,0.29%
2021年8月17日,"25,683.00","26,079.00","26,200.00","25,550.00",137.12K,-1.55%
2021年8月16日,"26,088.00","26,319.00","26,380.00","25,988.00",107.26K,-0.84%
2021年8月13日,"26,310.00","26,391.00","26,444.00","26,081.00",95.93K,-0.30%
2021年8月12日,"26,388.00","26,549.00","26,735.00","26,295.00",91.49K,-0.59%
2021年8月11日,"26,545.00","26,468.00","26,722.00","26,297.00",94.17K,0.30%
2021年8月10日,"26,466.00","26,233.00","26,515.00","26,026.00",106.65K,0.95%
2021年8月9日,"26,217.00","26,131.00","26,472.00","25,814.00",104.65K,0.34%
2021年8月6日,"26,129.00","26,134.00","26,273.00","25,900.00",93.82K,0.01%
2021年8月5日,"26,126.00","26,357.00","26,486.00","26,058.00",108.65K,-0.88%
2021年8月4日,"26,358.00","26,061.00","26,584.00","25,921.00",112.88K,1.16%
2021年8月3日,"26,055.00","26,125.00","26,228.00","25,703.00",122.16K,-0.25%
2021年8月2日,"26,121.00","25,894.00","26,242.00","25,668.00",124.68K,0.86%
2021年7月30日,"25,897.00","26,201.00","26,283.00","25,559.00",132.89K,-0.95%
2021年7月29日,"26,146.00","25,389.00","26,226.00","25,389.00",38.30K,3.00%
2021年7月28日,"25,384.00","25,074.00","25,594.00","24,871.00",175.84K,1.38%
2021年7月27日,"25,038.00","26,152.00","26,372.00","24,743.00",250.14K,-4.18%
2021年7月26日,"26,130.00","27,299.00","27,325.00","26,112.00",204.21K,-4.19%
2021年7月23日,"27,272.00","27,685.00","27,720.00","27,200.00",89.44K,-1.56%
2021年7月22日,"27,705.00","27,222.00","27,767.00","27,135.00",97.44K,1.76%
2021年7月21日,"27,226.00","27,232.00","27,395.00","26,915.00",109.39K,-0.03%
2021年7月20日,"27,235.00","27,432.00","27,530.00","27,090.00",125.01K,-0.85%
2021年7月19日,"27,469.00","28,048.00","28,080.00","27,354.00",108.35K,-1.97%
2021年7月16日,"28,020.00","27,992.00","28,216.00","27,807.00",95.73K,0.03%
2021年7月15日,"28,012.00","27,780.00","28,185.00","27,650.00",100.29K,0.85%
2021年7月14日,"27,776.00","27,885.00","27,924.00","27,662.00",88.67K,-0.37%
2021年7月13日,"27,880.00","27,531.00","28,017.00","27,439.00",109.67K,1.27%
2021年7月12日,"27,531.00","27,270.00","27,720.00","27,270.00",105.81K,1.04%
2021年7月9日,"27,247.00","27,081.00","27,416.00","26,859.00",138.58K,0.54%
2021年7月8日,"27,100.00","27,903.00","28,017.00","27,072.00",148.38K,-2.87%
2021年7月7日,"27,902.00","27,932.00","27,980.00","27,706.00",102.74K,-0.16%
2021年7月6日,"27,946.00","28,094.00","28,121.00","27,806.00",93.75K,-0.50%
2021年7月5日,"28,086.00","28,156.00","28,338.00","27,901.00",100.28K,-0.22%
2021年7月2日,"28,149.00","28,627.00","28,771.00","28,085.00",144.84K,-1.68%
2021年6月30日,"28,630.00","28,829.00","29,026.00","28,611.00",85.02K,-1.50%
2021年6月29日,"29,065.00","29,243.00","29,320.00","29,049.00",16.56K,-0.54%
2021年6月28日,"29,224.00","29,218.00","29,333.00","29,196.00",75.14K,0.02%
2021年6月25日,"29,218.00","28,848.00","29,256.00","28,808.00",150.60K,1.35%
2021年6月24日,"28,829.00","28,728.00","28,945.00","28,659.00",130.86K,0.34%
